Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date added / updated,Logo Image,Target locations hide,Regions,Regions 2,Sector,Units (min),Units (max),Contact,Phone,Website,email,Recent planning application,Application 1 - Link to planning application,Application 1 - LPA of the application,Application 1 - no. of dwellings,Applicattion 1 - Date,Contact linkedin,Link to recent planning applications
Bowsall Developments,bowsall-developments,63c82b7a254c065170a9ee94,66604dd5155b1f7297741fd6,Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd4155b1f7297741f9e_65e9a30619b2da000e6259ad_658179f09d2ea44f23134f6c_64946857fd417350336541c5_Bowsall%25252520Developments%25252520logo.jpeg,,"Midlands, North East, North West",midlands; north-east; north-west,Residential,5,15,Yigal Landey (Land Manager),,https://www.bowsall.co.uk/land-wanted/,yigal@bowsall.com,true,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RU36JOBCJDG00,Manchester,40,Wed May 03 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/yigallandey/,https://www.planninglist.co.uk/sectors/residential?*=Bowsall+Developments
Braidwater,braidwater,63c82b7a254c065170a9ee94,66604dd55e65176e9b3efbda,Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd55e65176e9b3efbb3_65e9a307d8401783fb7044f1_658179efb5ff0b77bac18f78_64946857fd417350336541b9_Braidwater.jpeg,,Northern Ireland,northern-ireland,Residential,5,50,Joe McGinnis (Director),,https://www.braidwater.com/about/,Joe.McGinnis@braidwater.com,false,,,,,https://www.linkedin.com/in/joe-mcginnis-1769792/,https://www.planninglist.co.uk/sectors/residential?*=Braidwater
Breck Homes,breck-homes,63c82b7a254c065170a9ee94,66604dd52f7acd4bfac80702,Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd52f7acd4bfac806eb_65e9a3067b17a92daebcbd7c_658179ef2db8dd97469fa238_64946857fd417350336541b8_Breck%25252520Homes%25252520logo.jpeg,,"North East, North West",north-east; north-west,Residential,10,50,David Evans (Commercial Director),,https://www.breck.co.uk/developments/,hello@breck.co.uk,false,,,,,https://www.linkedin.com/in/david-evans-3a364130/,https://www.planninglist.co.uk/sectors/residential?*=Breck+Homes
Brenchley Homes,brenchley-homes,63c82b7a254c065170a9ee94,66604dd553ed6c06b8cb0362,Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd553ed6c06b8cb034b_65e9a306db32e9c2ef6ee3c7_658179f0979712e464fe981b_64946857fd417350336541e1_Brenchley%25252520Homes%25252520logo.jpeg,Dartford,South East,south-east,Residential,10,50,Keith Whiffin (Managing Director),,https://brenchleyhomes.co.uk/developments/,office@brenchleyhomes.co.uk,false,,,,,https://www.linkedin.com/in/keith-whiffin-67a48a61/,https://www.planninglist.co.uk/sectors/residential?*=Brenchley+Homes
Bridge Homes,bridge-homes,63c82b7a254c065170a9ee94,66604dd55e65176e9b3efc1a,Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd55e65176e9b3efc00_65e9a3061c67b6ef1dfefd5c_658179f0151ed7f8828dfb51_64946857fd417350336541bc_Bridge%25252520Homes%25252520Logo.png,Wakefield,"North East, Wales",north-east; wales,Residential,100,200,Tony Watling (Managing Director),,https://bridgehomesyorkshire.co.uk/land-wanted/,tonywatling@bridgehomesyorkshire.co.uk,false,,,,,https://www.linkedin.com/in/tony-watling-577b6715/,https://www.planninglist.co.uk/sectors/residential?*=Bridge+Homes
Bridgewood,bridgewood,63c82b7a254c065170a9ee94,66604dd66cf9ea143f3964fb,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd56cf9ea143f3964e8_65e9a30639c2ad2307a7fde6_658179f0d6fa664b7ddf9238_64946857fd417350336541b6_bridgewood%25252520logo.jpeg,,"London, South East",london; south-east,Residential,5,100,Adam de Swarte (Director),,https://www.bridgewood.plc.uk/land-required/,adam@bridgewood.plc.uk,false,,,,,https://www.linkedin.com/in/adamdeswarte/,https://www.planninglist.co.uk/sectors/residential?*=Bridgewood
Broad Oak Properties,broad-oak-properties,63c82b7a254c065170a9ee94,66604dd6155b1f7297742075,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd6155b1f729774205b_65e9a307d0156d4c65d7e954_658179f1062834ab35d2a1db_64946857fd417350336541b1_Broad%25252520Oak%25252520Properties.png,,"Midlands, North West",midlands; north-west,Residential,10,50,Andrew Harrison (MD),,https://broadoakhomes.co.uk/,info@broadoakproperties.co.uk,false,,,,,https://www.linkedin.com/in/andrew-harrison-715a8249/,https://www.planninglist.co.uk/sectors/residential?*=Broad+Oak+Properties
Broadgate Homes,broadgate-homes,63c82b7a254c065170a9ee94,66604dd69a6c2841c899f41d,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd69a6c2841c899f409_65e9a3071b1ac5e97f5782b3_658179f111e4fef2ec17538f_64946857fd417350336541b0_Broadgate-homes-logo.png,SouthHolland,Midlands,midlands,Residential,5,25,Simon Brigden (Land Buyer),,https://www.broadgate-homes.com/broadgate-and-you/land-aquisition/#about-nav,Simon.Brigden@broadgate-homes.com,false,,,,,https://www.linkedin.com/in/simon-brigden-3a4ab9152/,https://www.planninglist.co.uk/sectors/residential?*=Broadgate+Homes
Broadleaf Homes,broadleaf-homes,63c82b7a254c065170a9ee94,66604dd68bcce34c9440bde9,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd68bcce34c9440bdbd_65e9a307057ff532871627fd_658179f223f87c3276a5b4d7_64946857fd417350336541ea_Broadleaf%25252520Homes%25252520logo.jpeg,,"Midlands, South East",midlands; south-east,Residential,5,25,Max Wiseman (Director),,https://www.broadleafgroup.co.uk/land-required/,info@broadleafgroup.co.uk,false,,,,,https://www.linkedin.com/in/max-wiseman-mrics-aa135659/,https://www.planninglist.co.uk/sectors/residential?*=Broadleaf+Homes
Broadoak Developments,broadoak-developments,63c82b7a254c065170a9ee94,66604dd6bdca926c1d65b3e6,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd6bdca926c1d65b3de_65e9a307bb7e199b53d863d6_658179f213835057a0a66482_64946857fd417350336541ae_Broadoak%25252520Developments%25252520logo.jpeg,,South East,south-east,Residential,5,15,Samuel Leatt (Director),,http://broadoakdevelopments.com/about-us/land-wanted/,sam@broadoakdevelopments.com,false,,,,,https://www.linkedin.com/in/samuelleatt/,https://www.planninglist.co.uk/sectors/residential?*=Broadoak+Developments
Bromford Homes,bromford-homes,63c82b7a254c065170a9ee94,66604dd6ad68c66ae00b4ea6,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd6ad68c66ae00b4d82_65e9a30777b3adce221b225a_658179f2151ed7f8828dfcab_64946857fd417350336541b4_Bromford%25252520Homes.jpeg,"Shropshire, SouthGloucestershire","South West, Midlands",south-west; midlands,Residential,10,50,,07973 342036,https://findahome.bromford.co.uk/land/,,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Bromford+Homes
Bruckland Developments,bruckland-developments,63c82b7a254c065170a9ee94,66604dd6d467175de6d45ac2,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd6d467175de6d45a9d_65e9a3079ef6901b446f3546_658179f25f11a0fdf5f03690_64946857fd417350336541ad_Bruckland%25252520Developments.jpeg,,South East,south-east,Residential,5,50,John Taylor (Land Director),,https://brucklanddevelopments.com/land-opportunities/,john@brucklanddevelopments.com,false,,,,,https://www.linkedin.com/in/john-taylor-4965ab183/,https://www.planninglist.co.uk/sectors/residential?*=Bruckland+Developments
Built Developments,built-developments,63c82b7a254c065170a9ee94,66604dd79d05d05192d89ecd,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd79d05d05192d89e56_65e9a30713484d499707b87e_65e997642a4eece2096a3ce1_Built%252520Developments.jpeg,,North West,north-west,Residential,10,50,Curtis Huynh (Co Founder),,https://builtdevelopments.co.uk/land/,curtis@builtdevelopments.co.uk,true,https://paplanning.bolton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S5AXYQDEGNW00,Bolton,36,Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/curtis-huynh-3a538b27,
Burgess Homes,burgess-homes,63c82b7a254c065170a9ee94,66604dd6ad68c66ae00b4f1b,Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd6ad68c66ae00b4f13_65e9a308bc4cfe67167bf2ef_658179f27e0be1ad801a1dbd_64946857fd417350336541bf_Burgess%25252520Homes.png,,"South East, Midlands",south-east; midlands,Residential,5,15,Simon Burgess (MD),,https://burgesshomesltd.co.uk/land/,info@burgesshomesltd.co.uk,false,,,,,https://www.linkedin.com/in/simon-burgess-07a780143/,https://www.planninglist.co.uk/sectors/residential?*=Burgess+Homes
Burrington,burrington,63c82b7a254c065170a9ee94,66604dd789ec39191626b516,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd689ec39191626b4fa_65e9a3082c6279d8a512f967_658179f3f546c5b824c46f24_64946857fd417350336541b2_Burrington%25252520Logo.jpeg,,South West,south-west,Residential,25,100,Clyde Lambert (Land and Planning Director),,https://www.burringtonestates.com/about-us/land-required/,Clyde.Lambert@burringtonestates.com,false,,,,,https://www.linkedin.com/in/clyde-lambert/,https://www.planninglist.co.uk/sectors/residential?*=Burrington
Buxworth Homes,buxworth-homes,63c82b7a254c065170a9ee94,66604dd775d5c8caa556d33e,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd775d5c8caa556d30a_65e9a3085368fec6f2e0cf04_658179f3f733d55be95608db_64946857fd417350336541b5_Buxworth%25252520Homes%25252520Logo.jpeg,,South East,south-east,Residential,5,100,Adam Howell (Director),,http://buxworthhomes.co.uk/land-policy/,adamhowell@buxworthhomes.co.uk,false,,,,,https://www.linkedin.com/in/adam-howell-14610360/,https://www.planninglist.co.uk/sectors/residential?*=Buxworth+Homes
Caerus Developments,caerus-developments,63c82b7a254c065170a9ee94,66604dd70195e3ebdf12cf74,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd70195e3ebdf12cf51_65e9a30810a6fe163bd76b52_658179f3df2e4b2a74614720_64946857fd417350336541e2_Caerus%25252520Developments%25252520logo.png,,"London, South East",london; south-east,Residential,50,100,Matt McLean (Managing Director),,https://www.caerus.london/land-requirements,info@caerus.london,false,,,,,https://www.linkedin.com/in/matt-mclean-0127211b5/,https://www.planninglist.co.uk/sectors/residential?*=Caerus+Developments
Cala Homes,cala-homes,63c82b7a254c065170a9ee94,66604dd72f9f1e59735ce711,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd72f9f1e59735ce6dd_65e9a308ba8d3aa72d5dcd19_658179f36d3f9aec8a08127a_64b6985e55c5e676e7291114_Screenshot%252525202023-07-18%25252520at%2525252014.49.15.png,,UK,east-anglia; midlands; north-east; north-west; scotland; south-east,,25,500,Land Team - See Website Link,,https://www.cala.co.uk/land-planning/land-acquisition/,,true,https://ercbuildingstandards.eastrenfrewshire.gov.uk/buildingstandards/applicationDetails.do?activeTab=summary&keyVal=RTEXD0GPLJL00,EastRenfrewshire,34,Thu May 04 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,https://www.planninglist.co.uk/sectors/residential?*=Cala+Homes
Cameron Homes Limited,cameron-galliers,63c82b7a254c065170a9ee94,66604dd744bd973790a92960,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd744bd973790a9292e_65e9a308331ecdd1f55bfdf6_658179f36dd9ffc5d4c22350_64946857fd417350336541b3_Cameron%25252520Galliers.png,,Midlands; North West,midlands; north-west,Residential,5,25,Kate Tait (Land and Planning Director),,https://www.camerongalliers.co.uk/land-and-planning,land@cameronhomes.co.uk,true,https://planning.derbyshiredales.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RU2L2NFUIBL00,DerbyshireDales,33,Tue May 16 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/kate-tait-52041742/,https://www.planninglist.co.uk/sectors/residential?*=Cameron+homes
Campion Homes,campion-homes,63c82b7a254c065170a9ee94,66604dd7714ac559ebe3a546,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd7714ac559ebe3a540_65e9a3085fded2fbae837926_658179f46576707c72068669_64946857fd417350336541e0_Campion%25252520Homes.png,Fife,Scotland,scotland,Residential,10,75,Dougie Herd (Director),,https://www.campionhomes.com/corporate/land-planning/,land@campionhomes.com,true,https://planningapps.pkc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S624VQMKLX500,Perth,25,Tue Jan 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/dougie-herd-0377bb28/,https://www.planninglist.co.uk/sectors/residential?*=Campion+Homes
Camstead Homes,camstead-homes,63c82b7a254c065170a9ee94,66604dd74acd49139c98ecd2,Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd74acd49139c98ecc5_65e9a30807c6f75cd8526dd2_658179f4c3d98d46153d7daf_64946857fd417350336541af_Camstead%25252520Homes%25252520logo.jpeg,,"North West, Midlands",north-west; midlands,Residential,5,25,Stephen Holman (Director),,https://camstead.co.uk/current-developments/,info@scotfield.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Camstead
Canbury Homes,canbury-homes,63c82b7a254c065170a9ee94,66604dd8bb8c8abbcff5a96c,Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd7bb8c8abbcff5a94a_65e9a30854be6a4766ecb6ec_658179f54fb9c0ec8773d181_64946857fd417350336541ac_Canbury%25252520Homes%25252520logo.png,,"South East, London",south-east,Residential,5,10,Matthew Ahearn (Director),,https://www.canburyhomes.co.uk/land-wanted/,info@canburyhomes.co.uk,false,,,,,https://www.linkedin.com/in/matthew-ahearn-2500a6181/,
Canmoor,canmoor,63c82b7a254c065170a9ee94,66604dd8155b1f7297742280,Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd7155b1f729774226a_66604230a9268fd6cce2ca76_Screenshot%25202024-06-05%2520at%252011.47.09.png,,UK,east-anglia; london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Commercial,,,Marcus Franklin (Director),,https://www.canmoor.com/portfolio/land-development,ostapleton@canmoor.com,true,https://plan.worcester.gov.uk/Planning/Display/24/00213/FUL,Worcester,,Fri Apr 12 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/marcus-franklin-2791aa30/,
Captiva Homes,captiva-homes,63c82b7a254c065170a9ee94,66604dd8b6558bd6480f25e9,Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd8b6558bd6480f25cd_65e9a3091699e0c717415eb6_658179f5c9e92cb3e4c3ea49_64946857fd4173503365419b_Captiva%25252520Homes%25252520Logo.jpeg,,South East,south-east,Residential,10,100,James Pink (Director),,https://www.captivahomes.co.uk/land-opportunities,JamesPink@captivahomes.co.uk,false,,,,,https://www.linkedin.com/in/james-pink-01ba7197/,https://www.planninglist.co.uk/sectors/residential?*=Captiva+
CARE UK,care-uk,63c82b7a254c065170a9ee94,66604dd82050468f12426680,Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Feb 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd82050468f124265a2_65e9a3091e8118e9335da75e_65d7dca96badcafea2750057_CARE%252520UK.png,,UK,east-anglia; london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Care,,,David Gannon (Land),,,,true,https://www3.somersetwestandtaunton.gov.uk/asp/webpages/plan/PlAppDets.asp?casefullref=43/23/0107&QC=l1bC1,auntonDeane,,Mon Jan 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/davidmrgannon/,https://www.planninglist.co.uk/sectors/care?*=care+uk
Carmichael Homes,carmichael-homes,63c82b7a254c065170a9ee94,66604dd82cd732f960a8c616,Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd82cd732f960a8c60f_65e9a309ba994302c679c2d0_658179f5565d7ba6e08cb00c_64946857fd41735033654382_Carmichael%25252520Homes.png,,Scotland,scotland,,5,100,David Thorburn (Land Manager),,https://carmichaelhomes.net/land-requirements/,david@carmichaelhomes.net,true,https://publicaccess.southlanarkshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=R45THKOPM8E00,South Lanarkshire,18,Sat Dec 17 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/david-thorburn-27663a66/,https://www.planninglist.co.uk/sectors/residential?*=Carmichael+Homes
Carvall Homes,carvall-homes,63c82b7a254c065170a9ee94,66604dd853ed6c06b8cb0570,Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd853ed6c06b8cb056a_65e9a3098dd6741cb8db4772_658179f5a229aefed9aaf01e_64946857fd417350336541e4_Carvall%25252520Homes%25252520logo.png,Croydon,London,london,Residential,5,25,Jack Carvall (MD),,https://carvallhomes.co.uk/about-us/,jack@carvallhomes.co.uk,false,,,,,,
Castell Group,castell-group,63c82b7a254c065170a9ee94,66604dd91aa4542a2b4cc9c1,Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd91aa4542a2b4cc9b3_65e9a3091e405a60c155b1bc_65e9990344b8c2410153b74e_%252520Castell%252520Group.png,,Wales,wales,Residential; Mixed,10,50,Dyfan Williams (Head of Land),,https://castellgroup.co.uk/landowner/,dyfan@castellgroup.co.uk,true,https://publicaccess.caerphilly.gov.uk/PublicAccess/applicationDetails.do?activeTab=summary&keyVal=S5YML7DVN0T00,Caerphilly,26,Mon Jan 08 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/dyfan-williams-a95883149/,https://www.planninglist.co.uk/sectors/residential?*=castel
Castle Green Homes,castle-green-homes,63c82b7a254c065170a9ee94,66604dd8bb8c8abbcff5a9c4,Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd8bb8c8abbcff5a9bd_65e9a30a6e2b1b42817c37c1_658179f5ca1784715477ccc4_64946857fd417350336541ab_Castle%25252520Green%25252520Homes.png,,"Wales, North West",wales; north-west,Residential,10,50,Simon Finlay (Development Director),,https://www.castlegreenhomes.uk/land-opportunities-castle-green/,FinlaySimon@castlegreenhomes.uk,false,,,,,https://www.linkedin.com/in/simon-finlay-45a7033a/,https://www.planninglist.co.uk/sectors/residential?*=Castle+Green
Castlethorpe Homes,castlethorpe-homes,63c82b7a254c065170a9ee94,66604dd92f584e52f6fb19db,Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd92f584e52f6fb19d5_65e9a309aaf023dae309fb6b_658179f6ea74e8b64e6b642f_64946857fd4173503365419a_Castlethorpe%25252520Homes%25252520Logo.png,,"Midlands, South West",midlands; south-west,Residential,5,20,Andy Morehen (Head of Land),,https://www.castlethorpehomes.co.uk/land,land@castlethorpehomes.co.uk,false,,,,,https://www.linkedin.com/in/andy-morehen-b84a458b/,
